Section,Publish date,URL,Views,Visitors
Earnings,8/13/2020 17:14,https://www.benzinga.com/news/earnings/20/08/17080904/recap-purple-innovation-q2-earnings,30,11
Earnings,5/1/2020 7:56,https://www.benzinga.com/news/earnings/20/05/15932103/recap-cameco-q1-earnings,3,3
News,11/4/2020 8:03,https://www.benzinga.com/news/20/11/18205233/a-look-into-cohen-companys-debt,52,37
Options,8/28/2020 10:25,https://www.benzinga.com/markets/options/20/08/17287706/understanding-walt-disneys-unusual-options-activity,34,26
Intraday Update,6/24/2020 10:23,https://www.benzinga.com/intraday-update/20/06/16372203/price-over-earnings-overview-aerovironment,1,1
Earnings,4/28/2020 11:31,https://www.benzinga.com/news/earnings/20/04/15897327/recap-zebra-technologies-q1-earnings,1,1
Pre-Market Outlook,10/8/2020 8:07,https://www.benzinga.com/pre-market-outlook/20/10/17833550/11-communication-services-stocks-moving-in-thursdays-pre-market-session,497,297
Earnings,8/3/2020 11:32,https://www.benzinga.com/news/earnings/20/08/16900048/return-on-capital-employed-overview-global-payments,3,2
Earnings,12/21/2020 10:04,https://www.benzinga.com/news/earnings/20/12/18876192/roce-insights-for-intel,6030,4448
Options,10/15/2020 10:31,https://www.benzinga.com/markets/options/20/10/17922574/analyzing-tiffanys-unusual-options-activity,214,103
News,8/24/2020 11:29,https://www.benzinga.com/news/20/08/17212255/unusual-options-activity-insight-bank-of-america,14,9
Earnings,12/21/2020 10:26,https://www.benzinga.com/news/earnings/20/12/18876853/price-over-earnings-overview-factset-research-systems,36,27
Pre-Market Outlook,11/27/2020 8:10,https://www.benzinga.com/pre-market-outlook/20/11/18553415/12-technology-stocks-moving-in-fridays-pre-market-session,3597,1436
Options,10/30/2020 11:29,https://www.benzinga.com/markets/options/20/10/18146043/analyzing-united-airlines-holdingss-unusual-options-activity,295,172
Options,11/5/2020 9:32,https://www.benzinga.com/markets/options/20/11/18228331/unusual-options-activity-insight-deutsche-bank,234,180
Earnings,11/10/2020 7:35,https://www.benzinga.com/news/earnings/20/11/18293791/embraer-q3-earnings-insights,392,334
Earnings,7/23/2020 10:12,https://www.benzinga.com/news/earnings/20/07/16752141/a-look-into-air-products-chemicals-price-over-earnings,2,2
Earnings,10/26/2020 16:37,https://www.benzinga.com/news/earnings/20/10/18063135/recap-heidrick-struggles-intl-q3-earnings,80,64
Pre-Market Outlook,12/16/2020 8:11,https://www.benzinga.com/pre-market-outlook/20/12/18813419/12-information-technology-stocks-moving-in-wednesdays-pre-market-session,2432,979
Intraday Update,11/24/2020 13:14,https://www.benzinga.com/intraday-update/20/11/18516274/12-technology-stocks-moving-in-tuesdays-intraday-session,398,177
Earnings,5/8/2020 7:43,https://www.benzinga.com/news/earnings/20/05/15987345/recap-red-lion-hotels-q1-earnings,2,2
News,10/7/2020 11:14,https://www.benzinga.com/news/20/10/17820690/insider-sells-novagold-resources-shares,304,201
After-Hours Center,11/30/2020 16:33,https://www.benzinga.com/after-hours-center/20/11/18584452/11-industrials-stocks-moving-in-mondays-after-market-session,217,145
Intraday Update,7/7/2020 10:26,https://www.benzinga.com/intraday-update/20/07/16534839/pe-ratio-insights-for-1-800-flowers-com,1,1
Earnings,11/18/2020 9:54,https://www.benzinga.com/news/earnings/20/11/18428745/return-on-capital-employed-overview-mr-cooper-group,67,42
Earnings,9/2/2020 10:16,https://www.benzinga.com/news/earnings/20/09/17351498/earnings-outlook-for-michaels-companies,5,5
Earnings,10/22/2020 12:45,https://www.benzinga.com/news/earnings/20/10/18019844/price-over-earnings-overview-darling-ingredients,195,151
Earnings,12/1/2020 10:26,https://www.benzinga.com/news/earnings/20/12/18597555/return-on-capital-employed-overview-jaguar-health,5635,4139
Earnings,10/20/2020 10:41,https://www.benzinga.com/news/earnings/20/10/17977769/preview-discover-financials-earnings,73,63
Earnings,12/14/2020 10:09,https://www.benzinga.com/news/earnings/20/12/18774272/preview-cootek-cayman-s-earnings,76,63
Earnings,9/23/2020 7:02,https://www.benzinga.com/news/earnings/20/09/17618831/jinkosolar-q2-earnings-insights,80,29
Penny Stocks,12/3/2020 9:56,https://www.benzinga.com/markets/penny-stocks/20/12/18635456/benzingas-top-upgrades-downgrades-for-december-3-2020,2863,912
News,9/16/2020 8:11,https://www.benzinga.com/news/20/09/17526776/a-look-into-tapestrys-debt,34,11
Earnings,8/3/2020 7:49,https://www.benzinga.com/news/earnings/20/08/16893848/recap-hudson-q2-earnings,2,2
News,5/29/2020 10:41,https://www.benzinga.com/news/20/05/16138801/stocks-that-hit-52-week-lows-on-friday,157,103
Earnings,10/22/2020 16:22,https://www.benzinga.com/news/earnings/20/10/18024137/recap-intel-q3-earnings,2277,1782
Earnings,8/4/2020 5:19,https://www.benzinga.com/news/earnings/20/08/16913094/earnings-scheduled-for-august-4-2020,46,18
Dividends,12/4/2020 10:15,https://www.benzinga.com/news/dividends/20/12/18653882/analyzing-first-american-financials-ex-dividend-date,26,18
Earnings,10/28/2020 7:35,https://www.benzinga.com/news/earnings/20/10/18091065/recap-silicon-laboratories-q3-earnings,15,12
News,11/30/2020 11:59,https://www.benzinga.com/news/20/11/18577693/insider-sells-tucows-stock,140,64
Earnings,10/27/2020 7:59,https://www.benzinga.com/news/earnings/20/10/18070486/novartis-q3-earnings-insights,230,141
Earnings,11/5/2020 16:26,https://www.benzinga.com/news/earnings/20/11/18238374/recap-electronic-arts-q2-earnings,411,221
Earnings,10/21/2020 17:13,https://www.benzinga.com/news/earnings/20/10/18005146/bcb-bancorp-q3-earnings-insights,40,34
Earnings,5/15/2020 8:44,https://www.benzinga.com/news/earnings/20/05/16042340/pbf-energy-q1-earnings-insights,1,1
Earnings,8/5/2020 12:16,https://www.benzinga.com/news/earnings/20/08/16944503/earnings-preview-for-american-vanguard,1,1
Earnings,5/21/2020 4:30,https://www.benzinga.com/news/earnings/20/05/16082252/teekay-lng-partners-q1-earnings-insights,8,1
Options,10/19/2020 10:36,https://www.benzinga.com/markets/options/20/10/17960081/understanding-on-semiconductors-unusual-options-activity,169,131
Options,9/23/2020 10:00,https://www.benzinga.com/markets/options/20/09/17623155/analyzing-american-airlines-groups-unusual-options-activity,102,16
Earnings,12/16/2020 13:07,https://www.benzinga.com/news/earnings/20/12/18821144/price-over-earnings-overview-abbott-laboratories,312,293
Earnings,8/5/2020 7:44,https://www.benzinga.com/news/earnings/20/08/16940290/wayfair-q2-earnings-insights,5,5
After-Hours Center,11/16/2020 16:36,https://www.benzinga.com/after-hours-center/20/11/18394686/12-industrials-stocks-moving-in-mondays-after-market-session,353,182
Earnings,7/30/2020 13:09,https://www.benzinga.com/news/earnings/20/07/16855882/preview-cbre-groups-earnings,16,16
Dividends,12/14/2020 10:11,https://www.benzinga.com/news/dividends/20/12/18774580/ex-dividend-date-insight-fs-kkr-capital,293,209
News,12/16/2020 7:47,https://www.benzinga.com/news/20/12/18812939/a-look-into-bausch-healths-debt,237,125
Earnings,8/14/2020 10:34,https://www.benzinga.com/news/earnings/20/08/17085059/return-on-capital-employed-overview-therapeuticsmd,6,3
Earnings,11/23/2020 10:20,https://www.benzinga.com/news/earnings/20/11/18489241/earnings-preview-for-hormel-foods,385,317
News,7/27/2020 7:49,https://www.benzinga.com/news/20/07/16785822/how-does-biogens-debt-look-like,69,28
News,11/4/2020 8:01,https://www.benzinga.com/news/20/11/18205160/what-does-sinclair-broadcast-groups-debt-look-like,109,57
News,12/23/2020 7:24,https://www.benzinga.com/news/20/12/18907927/avistas-debt-overview,17,16
Options,8/7/2020 10:39,https://www.benzinga.com/markets/options/20/08/16988786/understanding-peloton-interactives-unusual-options-activity,5,5
Earnings,11/4/2020 7:24,https://www.benzinga.com/news/earnings/20/11/18204450/recap-ionis-pharmaceuticals-q3-earnings,80,72
Earnings,12/11/2020 9:56,https://www.benzinga.com/news/earnings/20/12/18752246/return-on-capital-employed-overview-qualcomm,2999,2127
Health Care,10/28/2020 16:41,https://www.benzinga.com/general/health-care/20/10/18106147/12-healthcare-stocks-moving-in-wednesdays-after-market-session,735,468
Earnings,5/11/2020 8:11,https://www.benzinga.com/news/earnings/20/05/15998706/ceva-q1-earnings-insights,2,1
Earnings,12/2/2020 10:10,https://www.benzinga.com/news/earnings/20/12/18616639/earnings-preview-cooper-companies,7,7
Earnings,10/26/2020 10:20,https://www.benzinga.com/news/earnings/20/10/18055864/carriage-services-earnings-preview,71,60
Earnings,9/16/2020 10:12,https://www.benzinga.com/news/earnings/20/09/17529924/earnings-outlook-for-cantel-medical,4,2
News,9/30/2020 8:26,https://www.benzinga.com/news/20/09/17715371/16-communication-services-stocks-moving-in-wednesdays-pre-market-session,688,144
Earnings,10/2/2020 10:53,https://www.benzinga.com/news/earnings/20/10/17756071/a-look-into-donaldsons-price-over-earnings,40,37
Earnings,12/2/2020 10:10,https://www.benzinga.com/news/earnings/20/12/18616647/build-a-bear-workshops-earnings-a-preview,67,58
Dividends,11/11/2020 10:19,https://www.benzinga.com/news/dividends/20/11/18321984/analyzing-essential-utilitiess-ex-dividend-date,261,60
Earnings,8/25/2020 10:14,https://www.benzinga.com/news/earnings/20/08/17231184/lannetts-earnings-outlook,2,2
Pre-Market Outlook,6/12/2020 7:49,https://www.benzinga.com/pre-market-outlook/20/06/16241233/13-financial-services-stocks-moving-in-fridays-pre-market-session,4,3
News,4/21/2020 10:30,https://www.benzinga.com/news/20/04/15848568/stocks-that-hit-52-week-highs-on-tuesday,1,1
News,6/2/2020 10:44,https://www.benzinga.com/news/20/06/16160482/stocks-that-hit-52-week-lows-on-tuesday,4,4
Earnings,10/28/2020 8:41,https://www.benzinga.com/news/earnings/20/10/18092882/ryder-system-q3-earnings-insights,71,65
Earnings,10/30/2020 11:21,https://www.benzinga.com/news/earnings/20/10/18145879/overview-of-value-stocks-in-the-consumer-defensive-sector,376,94
Pre-Market Outlook,5/19/2020 7:34,https://www.benzinga.com/pre-market-outlook/20/05/16062913/10-industrials-stocks-moving-in-tuesdays-pre-market-session,1,1
News,12/18/2020 11:17,https://www.benzinga.com/news/20/12/18855117/insider-sells-pioneer-natural-resources-shares,303,257
Pre-Market Outlook,6/11/2020 7:42,https://www.benzinga.com/pre-market-outlook/20/06/16230703/12-industrials-stocks-moving-in-thursdays-pre-market-session,3,2
Earnings,7/24/2020 10:19,https://www.benzinga.com/news/earnings/20/07/16769766/looking-into-american-expresss-return-on-capital-employed,6,4
Earnings,9/29/2020 7:15,https://www.benzinga.com/news/earnings/20/09/17692122/recap-angiodynamics-q1-earnings,96,45
Pre-Market Outlook,7/2/2020 7:35,https://www.benzinga.com/pre-market-outlook/20/07/16483949/20-healthcare-stocks-moving-in-thursdays-pre-market-session,3,3
Earnings,8/5/2020 12:14,https://www.benzinga.com/news/earnings/20/08/16944496/a-preview-of-bonanza-creek-energys-earnings,3,3
Earnings,11/9/2020 8:18,https://www.benzinga.com/news/earnings/20/11/18270321/recap-sculptor-capital-q3-earnings,66,26
News,9/10/2020 6:54,https://www.benzinga.com/news/20/09/17447962/a-look-into-rhs-debt,6,6
Pre-Market Outlook,6/25/2020 7:46,https://www.benzinga.com/pre-market-outlook/20/06/16385822/11-energy-stocks-moving-in-thursdays-pre-market-session,2,2
Options,12/4/2020 10:23,https://www.benzinga.com/markets/options/20/12/18654213/analyzing-under-armours-unusual-options-activity,1688,1311
Pre-Market Outlook,6/24/2020 7:35,https://www.benzinga.com/pre-market-outlook/20/06/16368068/11-industrials-stocks-moving-in-wednesdays-pre-market-session,1,1
Earnings,8/26/2020 7:03,https://www.benzinga.com/news/earnings/20/08/17246397/express-q2-earnings-insights,22,18
Earnings,7/31/2020 2:00,https://www.benzinga.com/news/earnings/20/07/16867644/looking-into-general-motorss-return-on-capital-employed,3,3
Earnings,11/25/2020 7:29,https://www.benzinga.com/news/earnings/20/11/18528185/recap-deere-q4-earnings,578,488
Options,7/21/2020 12:45,https://www.benzinga.com/markets/options/20/07/16713476/unusual-options-activity-insight-walt-disney,10,6
Earnings,12/14/2020 10:08,https://www.benzinga.com/news/earnings/20/12/18774273/earnings-preview-nordson,110,21
Dividends,11/27/2020 11:48,https://www.benzinga.com/news/dividends/20/11/18554968/analyzing-interactive-brokers-groups-ex-dividend-date,64,51
After-Hours Center,11/12/2020 16:39,https://www.benzinga.com/after-hours-center/20/11/18350055/12-communication-services-stocks-moving-in-thursdays-after-market-session,155,127
Upgrades,12/28/2020 10:04,https://www.benzinga.com/analyst-ratings/upgrades/20/12/18938966/benzingas-top-upgrades-downgrades-for-december-28-2020,1250,607
News,10/26/2020 11:34,https://www.benzinga.com/news/20/10/18057079/insider-sells-willis-lease-finances-stock,79,64
Options,10/13/2020 9:58,https://www.benzinga.com/markets/options/20/10/17884803/understanding-american-airlines-groups-unusual-options-activity,5996,4523
Earnings,10/21/2020 10:19,https://www.benzinga.com/news/earnings/20/10/17996326/earnings-preview-banc-of-california,17,11
Earnings,8/10/2020 7:11,https://www.benzinga.com/news/earnings/20/08/17006208/barrick-gold-q2-earnings-insights,1,1
News,9/2/2020 8:16,https://www.benzinga.com/news/20/09/17348536/how-does-mohawk-groups-debt-look,17,11
News,9/23/2020 6:49,https://www.benzinga.com/news/20/09/17618615/jinkosolars-debt-overview,118,33
News,12/14/2020 10:13,https://www.benzinga.com/news/20/12/18774717/stocks-that-hit-52-week-highs-on-monday,1066,360
Earnings,8/7/2020 7:50,https://www.benzinga.com/news/earnings/20/08/16985544/par-technology-q2-earnings-insights,3,3
Earnings,5/11/2020 8:56,https://www.benzinga.com/news/earnings/20/05/15999598/univar-q1-earnings-insights,6,1
News,9/9/2020 11:51,https://www.benzinga.com/news/20/09/17433292/insider-buys-tracon-pharmaceuticals-shares,10,9
Earnings,10/20/2020 16:39,https://www.benzinga.com/news/earnings/20/10/17985105/tenet-healthcare-q3-earnings-insights,73,40
Intraday Update,10/12/2020 13:08,https://www.benzinga.com/intraday-update/20/10/17871910/12-healthcare-stocks-moving-in-mondays-intraday-session,319,168
Earnings,11/11/2020 9:59,https://www.benzinga.com/news/earnings/20/11/18321615/pe-ratio-insights-for-brooks-automation,181,110
Earnings,7/14/2020 8:04,https://www.benzinga.com/news/earnings/20/07/16611440/roce-insights-for-ford-motor,48,23
Earnings,11/5/2020 16:32,https://www.benzinga.com/news/earnings/20/11/18238588/recap-nmi-holdings-q3-earnings,273,117
News,8/6/2020 14:29,https://www.benzinga.com/news/20/08/16972797/analyzing-american-expresss-unusual-options-activity,46,7
Markets,8/7/2020 10:01,https://www.benzinga.com/markets/20/08/16987523/morning-market-stats-in-5-minutes,5,4
Options,9/9/2020 9:36,https://www.benzinga.com/markets/options/20/09/17430321/unusual-options-activity-insight-virgin-galactic-hldgs,90,56
Options,10/2/2020 10:26,https://www.benzinga.com/markets/options/20/10/17755653/analyzing-cerners-unusual-options-activity,450,332
Earnings,9/4/2020 8:53,https://www.benzinga.com/news/earnings/20/09/17384099/looking-into-general-electrics-return-on-capital-employed,16,9
Earnings,10/5/2020 10:50,https://www.benzinga.com/news/earnings/20/10/17784529/price-over-earnings-overview-regions-financial,163,87
Earnings,7/28/2020 9:41,https://www.benzinga.com/news/earnings/20/07/16807698/amalgamated-bank-q2-earnings-insights,1,1
Earnings,9/18/2020 10:16,https://www.benzinga.com/news/earnings/20/09/17564584/understanding-invesco-mortgage-capitals-unusual-options-activity,218,59
Pre-Market Outlook,6/29/2020 7:37,https://www.benzinga.com/pre-market-outlook/20/06/16425241/13-technology-stocks-moving-in-mondays-pre-market-session,5,5
Earnings,7/9/2020 4:03,https://www.benzinga.com/news/earnings/20/07/16564425/earnings-scheduled-for-july-9-2020,4,4
Earnings,10/29/2020 7:49,https://www.benzinga.com/news/earnings/20/10/18114534/recap-united-microelectronics-q3-earnings,1876,1349
Options,9/8/2020 9:52,https://www.benzinga.com/markets/options/20/09/17410716/analyzing-cinemark-hldgss-unusual-options-activity,82,34
Earnings,8/10/2020 7:12,https://www.benzinga.com/news/earnings/20/08/17006199/recap-on-semiconductor-q2-earnings,2,2
News,12/14/2020 10:02,https://www.benzinga.com/news/20/12/18774323/stocks-that-hit-52-week-lows-on-monday,836,494
Dividends,11/12/2020 10:11,https://www.benzinga.com/news/dividends/20/11/18340510/understanding-woodwards-ex-dividend-date,44,42
Earnings,9/22/2020 10:10,https://www.benzinga.com/news/earnings/20/09/17604990/earnings-preview-for-cintas,16,13
Earnings,8/25/2020 16:29,https://www.benzinga.com/news/earnings/20/08/17239816/recap-intuit-q4-earnings,7,6
News,7/23/2020 9:27,https://www.benzinga.com/news/20/07/16750929/a-look-into-thermo-fisher-scientifics-debt,133,18
Dividends,12/31/2020 13:41,https://www.benzinga.com/news/dividends/20/12/18978263/analyzing-whitestones-ex-dividend-date,13,13
News,8/5/2020 9:14,https://www.benzinga.com/news/20/08/16943286/how-does-discoverys-debt-look,12,12
Pre-Market Outlook,7/16/2020 7:31,https://www.benzinga.com/pre-market-outlook/20/07/16648552/14-communication-services-stocks-moving-in-thursdays-pre-market-session,4,4
Earnings,8/5/2020 7:43,https://www.benzinga.com/news/earnings/20/08/16940296/recap-moderna-q2-earnings,8,7
Earnings,5/22/2020 7:15,https://www.benzinga.com/news/earnings/20/05/16092757/foot-locker-q1-earnings-insights,1,1
Earnings,11/18/2020 9:52,https://www.benzinga.com/news/earnings/20/11/18428734/price-over-earnings-overview-globe-life,29,24
News,12/21/2020 7:16,https://www.benzinga.com/news/20/12/18872179/a-look-into-great-ajaxs-debt,58,53
Earnings,11/6/2020 7:48,https://www.benzinga.com/news/earnings/20/11/18246419/recap-acushnet-holdings-q3-earnings,95,85
Pre-Market Outlook,5/18/2020 7:36,https://www.benzinga.com/pre-market-outlook/20/05/16053690/10-industrials-stocks-moving-in-mondays-pre-market-session,4,3
News,8/21/2020 11:27,https://www.benzinga.com/news/20/08/17190888/insider-buys-donegal-groups-stock,19,19
Earnings,8/26/2020 10:36,https://www.benzinga.com/news/earnings/20/08/17251488/netflix-price-over-earnings-overview,1,1
Earnings,8/21/2020 11:46,https://www.benzinga.com/news/earnings/20/08/17191956/a-look-into-visas-pe-ratio,8,5
News,12/8/2020 6:45,https://www.benzinga.com/news/20/12/18690361/what-does-renesolas-debt-look-like,3947,2969
Pre-Market Outlook,12/11/2020 8:07,https://www.benzinga.com/pre-market-outlook/20/12/18750099/10-technology-stocks-moving-in-fridays-pre-market-session,1262,587
Earnings,10/29/2020 10:38,https://www.benzinga.com/news/earnings/20/10/18121865/roce-insights-for-invesco-mortgage-capital,8882,7020
Earnings,9/28/2020 7:46,https://www.benzinga.com/news/earnings/20/09/17674512/recap-sina-q2-earnings,10,9
News,7/10/2020 10:28,https://www.benzinga.com/news/20/07/16586451/stocks-that-hit-52-week-highs-on-friday,22,6
Earnings,10/12/2020 10:40,https://www.benzinga.com/news/earnings/20/10/17869305/fastenal-earnings-preview,606,500
Earnings,12/3/2020 9:48,https://www.benzinga.com/news/earnings/20/12/18635321/roce-insights-for-waddell-reed-financial,80,46
Earnings,8/6/2020 15:50,https://www.benzinga.com/news/earnings/20/08/16973610/preview-assertio-therapeuticss-earnings,2,1
News,11/12/2020 6:57,https://www.benzinga.com/news/20/11/18334155/a-look-into-walt-disneys-debt,225,143
After-Hours Center,10/6/2020 16:57,https://www.benzinga.com/after-hours-center/20/10/17809492/12-communication-services-stocks-moving-in-tuesdays-after-market-session,347,198
Earnings,12/11/2020 9:59,https://www.benzinga.com/news/earnings/20/12/18752282/return-on-capital-employed-overview-novavax,1024,763
Earnings,11/10/2020 7:34,https://www.benzinga.com/news/earnings/20/11/18293795/d-r-horton-q4-earnings-insights,507,415
News,11/27/2020 12:22,https://www.benzinga.com/news/20/11/18556882/stocks-that-hit-52-week-lows-on-friday,615,419
Options,8/11/2020 10:35,https://www.benzinga.com/markets/options/20/08/17033848/understanding-norwegian-cruise-lines-unusual-options-activity,35,29
Penny Stocks,12/11/2020 10:09,https://www.benzinga.com/markets/penny-stocks/20/12/18752618/why-vtv-therapeuticss-stock-is-trading-higher-today,372,167
Earnings,9/23/2020 8:59,https://www.benzinga.com/news/earnings/20/09/17621046/recap-tsakos-energy-navigation-q2-earnings,10,9
News,9/16/2020 7:48,https://www.benzinga.com/news/20/09/17526136/how-does-adobes-debt-look,155,91
Earnings,9/23/2020 9:52,https://www.benzinga.com/news/earnings/20/09/17622893/a-look-into-foot-lockers-pe-ratio,52,20
Earnings,7/21/2020 16:35,https://www.benzinga.com/news/earnings/20/07/16719443/recap-united-airlines-holdings-q2-earnings,3,3
Options,9/22/2020 10:03,https://www.benzinga.com/markets/options/20/09/17605028/analyzing-unisyss-unusual-options-activity,42,34
News,10/19/2020 7:32,https://www.benzinga.com/news/20/10/17955789/a-look-into-ibms-debt,327,246
Earnings,10/30/2020 7:11,https://www.benzinga.com/news/earnings/20/10/18139251/chevron-q3-earnings-insights,116,86
News,12/4/2020 11:58,https://www.benzinga.com/news/20/12/18655055/insider-buys-icoreconnect-shares,100,70
News,8/21/2020 11:18,https://www.benzinga.com/news/20/08/17190861/insider-buys-aim-immunotechs-shares,130,18
Earnings,10/21/2020 9:57,https://www.benzinga.com/news/earnings/20/10/17996075/return-on-capital-employed-overview-gulfport-energy,2257,1567
Earnings,11/5/2020 10:03,https://www.benzinga.com/news/earnings/20/11/18229292/earnings-outlook-for-mednax,83,29
Earnings,12/8/2020 16:09,https://www.benzinga.com/news/earnings/20/12/18702691/recap-mongodb-q3-earnings,1016,741
Intraday Update,12/8/2020 12:35,https://www.benzinga.com/intraday-update/20/12/18699002/12-industrials-stocks-moving-in-tuesdays-intraday-session,147,92
Earnings,10/20/2020 10:05,https://www.benzinga.com/news/earnings/20/10/17977873/price-over-earnings-overview-commerce-bancshares,39,39
Earnings,12/14/2020 10:00,https://www.benzinga.com/news/earnings/20/12/18774243/a-look-into-communication-services-sector-value-stocks,103,74
Options,9/3/2020 10:03,https://www.benzinga.com/markets/options/20/09/17369858/understanding-snaps-unusual-options-activity,1180,24
News,8/31/2020 8:18,https://www.benzinga.com/news/20/08/17306003/how-does-omeross-debt-look,7,6
Earnings,12/15/2020 10:55,https://www.benzinga.com/news/earnings/20/12/18797029/how-likely-is-lennar-to-cut-their-dividend,3,3
Earnings,10/15/2020 7:50,https://www.benzinga.com/news/earnings/20/10/17917832/recap-morgan-stanley-q3-earnings,107,91
Earnings,4/17/2020 7:17,https://www.benzinga.com/news/earnings/20/04/15828306/recap-murphy-usa-q1-earnings,2,1
Earnings,12/15/2020 8:36,https://www.benzinga.com/news/earnings/20/12/18790957/recap-cootek-cayman-q3-earnings,1238,909
News,12/23/2020 7:27,https://www.benzinga.com/news/20/12/18907951/a-look-into-intercontinental-exchanges-debt,447,227
Earnings,10/20/2020 10:36,https://www.benzinga.com/news/earnings/20/10/17977765/earnings-preview-for-kinder-morgan,171,135
Earnings,10/23/2020 7:23,https://www.benzinga.com/news/earnings/20/10/18031105/veoneer-q3-earnings-insights,65,52
Earnings,8/24/2020 11:22,https://www.benzinga.com/news/earnings/20/08/17212102/looking-into-plug-powers-return-on-capital-employed,13,9
News,12/11/2020 7:17,https://www.benzinga.com/news/20/12/18749326/equifaxs-debt-overview,140,87
Earnings,9/24/2020 9:39,https://www.benzinga.com/news/earnings/20/09/17639946/looking-into-e-w-scrippss-return-on-capital-employed,466,6
Earnings,11/9/2020 16:54,https://www.benzinga.com/news/earnings/20/11/18285961/recap-neurocrine-biosciences-q3-earnings,91,61
Penny Stocks,10/26/2020 10:14,https://www.benzinga.com/markets/penny-stocks/20/10/18056234/understanding-aphrias-unusual-options-activity,552,402
Earnings,10/27/2020 7:38,https://www.benzinga.com/news/earnings/20/10/18070134/recap-neogenomics-q3-earnings,389,311
Earnings,10/27/2020 17:17,https://www.benzinga.com/news/earnings/20/10/18084268/recap-enova-international-q3-earnings,112,102
Pre-Market Outlook,11/4/2020 8:12,https://www.benzinga.com/pre-market-outlook/20/11/18205299/12-financial-services-stocks-moving-in-wednesdays-pre-market-session,926,425
Earnings,10/26/2020 9:53,https://www.benzinga.com/news/earnings/20/10/18055566/return-on-capital-employed-overview-dunkin-brands-group,497,395
News,10/21/2020 12:04,https://www.benzinga.com/news/20/10/17997638/insider-sells-willis-lease-finances-shares,43,38
News,10/2/2020 12:41,https://www.benzinga.com/news/20/10/17758006/11-energy-stocks-moving-in-fridays-intraday-session,318,187
Earnings,11/4/2020 16:39,https://www.benzinga.com/news/earnings/20/11/18215939/recap-brookdale-senior-living-q3-earnings,785,653
Biotech,8/7/2020 10:35,https://www.benzinga.com/general/biotech/20/08/16988709/unusual-options-activity-insight-sorrento-therapeutics,25,21
Earnings,11/16/2020 10:15,https://www.benzinga.com/news/earnings/20/11/18385382/price-over-earnings-overview-jd-com,8024,6633
News,7/22/2020 11:38,https://www.benzinga.com/news/20/07/16734025/insider-sells-h-b-fullers-shares,2,2
News,11/24/2020 10:04,https://www.benzinga.com/news/20/11/18512358/stocks-that-hit-52-week-lows-on-tuesday,2191,1444
Earnings,8/31/2020 10:24,https://www.benzinga.com/news/earnings/20/08/17309172/pe-ratio-insights-for-kellogg,5,5
Earnings,7/28/2020 10:27,https://www.benzinga.com/news/earnings/20/07/16807770/recap-asbury-automotive-group-q2-earnings,2,2
